ref	text	macula_lemma	macula_eng	macula_lxx_greek	tbi	sruv06	rv09	bbc
GEN 2:4!8	יְהוָ֥ה	יהוה	LORD		tuhan	BWANA	Jehová	Jahowa
GEN 2:5!15	יְהוָ֤ה	יהוה	LORD		tuhan	BWANA	Jehová	Jahowa
GEN 2:7!2	יְהוָ֨ה	יהוה	LORD		tuhan	BWANA	Jehová	Jahowa
GEN 2:8!2	יְהוָ֧ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 2:8!5	עֵ֖דֶן	עֵ֫דֶן	Eden	εδεμ	eden	wa Edeni	Edén	Eden
GEN 2:9!2	יְהוָ֤ה	יהוה	LORD		tuhan	BWANA	Jehová	Jahowa
GEN 2:10!3	עֵ֔דֶן	עֵ֫דֶן	Eden	εδεμ	eden	katika Edeni	Edén	Eden
GEN 2:11!3	פִּישׁ֑וֹן	פִּישׁוֹן	Pishon	φισων	pison	ni Pishoni	Pisón	
GEN 2:11!9	חֲוִילָ֔ה	חֲוִילָה	Havilah	ευιλατ	hawila	Havila	Havila	Hevila
GEN 2:13!4	גִּיח֑וֹן	גִּיחוֹן	Gihon	γηων	gihon	Gihoni	Gihón	Gihon
GEN 2:13!10	כּֽוּשׁ	כּוּשׁ	Cush	αἰθιοπίας	kush	Kushi	Cus	Kus
GEN 2:14!4	חִדֶּ֔קֶל	חִדֶּ֫קֶל	Tigris	τίγρις	tigris	Hidekeli	Hidekel	Hidekel
GEN 2:14!8	אַשּׁ֑וּר	אַשּׁוּר	Assyria	ἀσσυρίων	Asyur	Ashuru	Asiria	Assur
GEN 2:14!12	פְרָֽת	פְּרָת	Euphrates	εὐφράτης	efrat	Frati	Éufrates	aek
GEN 2:15!2	יְהוָ֥ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 2:15!8	עֵ֔דֶן	עֵ֫דֶן	Eden		eden	ya Edeni	Edén	Eden
GEN 2:16!2	יְהוָ֣ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 2:18!2	יְהוָ֣ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	ninna
GEN 2:19!2	יְהוָ֨ה	יהוה	LORD		tuhan	BWANA	Jehová	sun
GEN 2:21!2	יְהוָ֨ה	יהוה	LORD		tuhan	BWANA	Jehová	Jahowa
GEN 2:22!2	יְהוָ֨ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 3:1!9	יְהוָ֣ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 3:8!4	יְהוָ֧ה	יהוה	LORD	κυρίου	tuhan	BWANA	Jehová	Jahowa
GEN 3:8!14	יְהוָ֣ה	יהוה	LORD	κυρίου	tuhan	BWANA	Jehová	Jahowa
GEN 3:9!2	יְהוָ֥ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 3:13!2	יְהוָ֧ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 3:14!2	יְהֹוָ֨ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 3:17!1	אָדָ֣ם	אָדָם	Adam	αδαμ		Adamu	hombre	
GEN 3:20!5	חַוָּ֑ה	חַוָּה	Eve	ζωή	hawa	Hawa	Eva	Hawa
GEN 3:21!2	יְהוָ֨ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 3:22!2	יְהוָ֣ה	יהוה	LORD		tuhan	BWANA	Jehová	Jahowa
GEN 3:23!2	יְהוָ֥ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 3:23!5	עֵ֑דֶן	עֵ֫דֶן	Eden	τρυφῆς	eden	Edeni	Edén	Eden
